iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,best_iteration,training_time,prediction_time
0,LightGBM_Default,0.6447368421052632,0.6364293085655316,0.6447368421052632,0.6377447837024615,0.5721014492753623,1,0.0856320858001709,0.0021409988403320312
0,LightGBM_Fast,0.6052631578947368,0.6152882205513784,0.6052631578947368,0.6086273923444976,0.5532608695652175,1,0.03718209266662598,0.0015490055084228516
0,LightGBM_Accurate,0.7894736842105263,0.7878542510121458,0.7894736842105263,0.7863408521303259,0.7478260869565219,1,0.07159304618835449,0.0018661022186279297
1,LightGBM_Default,0.5921052631578947,0.5945104697226938,0.5921052631578947,0.5932074827674483,0.5384057971014493,9,0.08761215209960938,0.001689910888671875
1,LightGBM_Fast,0.5789473684210527,0.5892672858617131,0.5789473684210527,0.5825358851674641,0.5862318840579711,3,0.050695180892944336,0.001409769058227539
1,LightGBM_Accurate,0.5526315789473685,0.5369433198380567,0.5526315789473685,0.5414727294426541,0.4927536231884058,5,0.0916290283203125,0.0015249252319335938
2,LightGBM_Default,0.5,0.5277777777777778,0.5,0.5052264808362369,0.49130434782608695,2,0.06600332260131836,0.0015187263488769531
2,LightGBM_Fast,0.4868421052631579,0.5172015404364569,0.4868421052631579,0.4917497185844109,0.5007246376811594,2,0.04582023620605469,0.001611948013305664
2,LightGBM_Accurate,0.5789473684210527,0.5839563397129186,0.5789473684210527,0.581060177325033,0.5054347826086956,1,0.07845878601074219,0.0015690326690673828
3,LightGBM_Default,0.5394736842105263,0.5586862165809535,0.5394736842105263,0.5445681807679867,0.518840579710145,25,0.12690997123718262,0.0014638900756835938
3,LightGBM_Fast,0.5526315789473685,0.574792243767313,0.5526315789473685,0.5576441102756892,0.5717391304347826,3,0.04621100425720215,0.0016222000122070312
3,LightGBM_Accurate,0.4605263157894737,0.4801218222270854,0.4605263157894737,0.4664941546139273,0.46739130434782605,10,0.10414695739746094,0.0016949176788330078
4,LightGBM_Default,0.5657894736842105,0.5979644232532552,0.5657894736842105,0.5699420695714247,0.5605072463768116,1,0.06378698348999023,0.0016508102416992188
4,LightGBM_Fast,0.5789473684210527,0.5892672858617131,0.5789473684210527,0.5825358851674641,0.566304347826087,1,0.04980587959289551,0.0015232563018798828
4,LightGBM_Accurate,0.5394736842105263,0.5475130744408591,0.5394736842105263,0.5426769170116302,0.527536231884058,18,0.1282501220703125,0.001773834228515625
5,LightGBM_Default,0.5526315789473685,0.5578648325358851,0.5526315789473685,0.5548764384078476,0.5159420289855072,4,0.06994295120239258,0.0015971660614013672
5,LightGBM_Fast,0.5526315789473685,0.5632463511720477,0.5526315789473685,0.5564443779904306,0.525,3,0.046723127365112305,0.0017070770263671875
5,LightGBM_Accurate,0.5394736842105263,0.5529983495323675,0.5394736842105263,0.5439527199962771,0.49963768115942025,3,0.08027195930480957,0.001455068588256836
6,LightGBM_Default,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5786231884057971,1,0.060601234436035156,0.00177001953125
6,LightGBM_Fast,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5721014492753623,1,0.04476428031921387,0.0016009807586669922
6,LightGBM_Accurate,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.572463768115942,1,0.07996225357055664,0.0015978813171386719
7,LightGBM_Default,0.5789473684210527,0.5839563397129186,0.5789473684210527,0.581060177325033,0.5836956521739132,2,0.06838703155517578,0.0017979145050048828
7,LightGBM_Fast,0.5131578947368421,0.5214754645599199,0.5131578947368421,0.5165441694122948,0.5474637681159421,1,0.04782915115356445,0.0016219615936279297
7,LightGBM_Accurate,0.5131578947368421,0.5214754645599199,0.5131578947368421,0.5165441694122948,0.5474637681159421,1,0.07849001884460449,0.001592874526977539
8,LightGBM_Default,0.5789473684210527,0.5949561403508772,0.5789473684210527,0.5833982419049738,0.5833333333333334,4,0.07373166084289551,0.0018799304962158203
8,LightGBM_Fast,0.5657894736842105,0.5735506843217981,0.5657894736842105,0.5688096646109656,0.5692028985507246,2,0.041235923767089844,0.0016183853149414062
8,LightGBM_Accurate,0.5789473684210527,0.5839563397129186,0.5789473684210527,0.581060177325033,0.605072463768116,16,0.11876296997070312,0.0018596649169921875
9,LightGBM_Default,0.5263157894736842,0.5207550125313283,0.5263157894736842,0.5231880140556822,0.4557971014492753,14,0.09822320938110352,0.0018770694732666016
9,LightGBM_Fast,0.4868421052631579,0.48382051975132256,0.4868421052631579,0.4852522229576128,0.5326086956521738,14,0.07716917991638184,0.001634836196899414
9,LightGBM_Accurate,0.5263157894736842,0.5022151337940812,0.5263157894736842,0.5088259109311741,0.48840579710144927,43,0.19579172134399414,0.0017049312591552734
10,LightGBM_Default,0.5131578947368421,0.5441225013753896,0.5131578947368421,0.5178138355800822,0.5833333333333333,1,0.06445789337158203,0.0020530223846435547
10,LightGBM_Fast,0.5131578947368421,0.5441225013753896,0.5131578947368421,0.5178138355800822,0.5510869565217391,1,0.04463005065917969,0.0018649101257324219
10,LightGBM_Accurate,0.5657894736842105,0.5979644232532552,0.5657894736842105,0.5699420695714247,0.6047101449275363,2,0.08264899253845215,0.0018868446350097656
11,LightGBM_Default,0.47368421052631576,0.4795903110047847,0.47368421052631576,0.4763252216562913,0.4376811594202899,1,0.06618213653564453,0.0016760826110839844
11,LightGBM_Fast,0.47368421052631576,0.5064130915524104,0.47368421052631576,0.4780701754385964,0.45869565217391306,1,0.04916977882385254,0.0016677379608154297
11,LightGBM_Accurate,0.47368421052631576,0.4795903110047847,0.47368421052631576,0.4763252216562913,0.43768115942028984,1,0.08243894577026367,0.0015859603881835938
12,LightGBM_Default,0.5,0.5221606648199446,0.5,0.5056022408963585,0.5195652173913043,1,0.0663919448852539,0.001631021499633789
12,LightGBM_Fast,0.5526315789473685,0.5578648325358851,0.5526315789473685,0.5548764384078476,0.5224637681159421,10,0.06603693962097168,0.0017218589782714844
12,LightGBM_Accurate,0.5,0.5221606648199446,0.5,0.5056022408963585,0.5195652173913043,1,0.08224105834960938,0.0016560554504394531
13,LightGBM_Default,0.631578947368421,0.6471491228070176,0.631578947368421,0.6354734616668521,0.6590579710144928,2,0.06593894958496094,0.0016930103302001953
13,LightGBM_Fast,0.6447368421052632,0.6787273060700533,0.6447368421052632,0.6481344205584383,0.6699275362318842,1,0.04879403114318848,0.0016779899597167969
13,LightGBM_Accurate,0.6447368421052632,0.6571611956721071,0.6447368421052632,0.6481920982828424,0.6688405797101449,8,0.09705996513366699,0.001657247543334961
14,LightGBM_Default,0.47368421052631576,0.4526821862348178,0.47368421052631576,0.4605561522854756,0.45434782608695645,7,0.09163808822631836,0.0018458366394042969
14,LightGBM_Fast,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5318840579710145,5,0.06196308135986328,0.002357006072998047
14,LightGBM_Accurate,0.5131578947368421,0.4913216182375545,0.5131578947368421,0.4982195339692857,0.5224637681159421,20,0.14812898635864258,0.0019369125366210938
15,LightGBM_Default,0.5526315789473685,0.5422672064777327,0.5526315789473685,0.5459743107769424,0.5561594202898551,4,0.06797504425048828,0.001628875732421875
15,LightGBM_Fast,0.47368421052631576,0.49584487534626037,0.47368421052631576,0.4795813062066932,0.5108695652173914,1,0.03950691223144531,0.0015120506286621094
15,LightGBM_Accurate,0.6447368421052632,0.6392767633369137,0.6447368421052632,0.6409972299168976,0.6097826086956522,7,0.09117412567138672,0.0015780925750732422
16,LightGBM_Default,0.39473684210526316,0.42105263157894735,0.39473684210526316,0.4010636346964973,0.35507246376811596,1,0.059515953063964844,0.0017209053039550781
16,LightGBM_Fast,0.39473684210526316,0.42105263157894735,0.39473684210526316,0.4010636346964973,0.35507246376811596,1,0.03987717628479004,0.0017049312591552734
16,LightGBM_Accurate,0.5526315789473685,0.5578648325358851,0.5526315789473685,0.5548764384078476,0.4847826086956522,20,0.12906718254089355,0.0017080307006835938
17,LightGBM_Default,0.6710526315789473,0.6970675128569866,0.6710526315789473,0.6746712249455488,0.7376811594202899,2,0.07110285758972168,0.001644134521484375
17,LightGBM_Fast,0.6052631578947368,0.6345029239766081,0.6052631578947368,0.6093893269759765,0.658695652173913,4,0.05776786804199219,0.0015261173248291016
17,LightGBM_Accurate,0.6447368421052632,0.6468779475570647,0.6447368421052632,0.645696839829713,0.696376811594203,8,0.10061502456665039,0.0015261173248291016
18,LightGBM_Default,0.5263157894736842,0.5207550125313283,0.5263157894736842,0.5231880140556822,0.511231884057971,4,0.08083105087280273,0.0018758773803710938
18,LightGBM_Fast,0.5,0.5336134453781514,0.5,0.5041666666666668,0.5032608695652174,2,0.05227398872375488,0.0016210079193115234
18,LightGBM_Accurate,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5615942028985508,32,0.17386507987976074,0.0018968582153320312
19,LightGBM_Default,0.5526315789473685,0.5578648325358851,0.5526315789473685,0.5548764384078476,0.6231884057971014,2,0.06552815437316895,0.0018188953399658203
19,LightGBM_Fast,0.5131578947368421,0.5159592529711375,0.5131578947368421,0.5144734471740511,0.5423913043478261,4,0.05167579650878906,0.001806020736694336
19,LightGBM_Accurate,0.5526315789473685,0.5474624060150376,0.5526315789473685,0.5496775688303664,0.5514492753623188,14,0.11386704444885254,0.0017249584197998047
